lora_r,learning_rate,lora_dropout,batch_size,predicted_loss,std
8.0,0.0025654615289704644,0.04598505440354459,4.0,3.1511270403886624,0.10324894309987888
4.0,0.0006343711135754877,0.13030456446893077,8.0,2.948737718685769,0.11620531980389256
4.0,0.0013115248746193374,0.007979736786903557,8.0,3.048241318818716,0.13082971165117682
4.0,0.000527460073478119,0.18251832623580933,16.0,3.005858816990399,0.10737120377549039
32.0,0.0028370266071801277,0.07417386572390539,4.0,2.9873485707267275,0.1379769630958246
64.0,0.002890890161470716,0.07521509242421534,8.0,2.9795907442601393,0.13834012246402524
64.0,0.00102700105303281,0.13632216999312227,16.0,2.9902347006580796,0.13667931369170633
64.0,0.0018391531437722513,0.15279931008493192,16.0,2.9787978648412268,0.13831292832619022
64.0,2.4931633410632547e-05,0.16872900454271145,16.0,2.869388623471539,0.09476496327068983
4.0,0.002908868536577202,0.16579771633880577,4.0,3.013225810741092,0.13743139223136358
8.0,0.00023017058390614726,0.17739500466682606,4.0,2.887843781146211,0.07911761570032756
8.0,0.0007139259527856606,0.15575209667216666,8.0,3.0082203469720925,0.09945603518854557
16.0,0.001946462205832555,0.19043414544871548,8.0,3.05369868633604,0.13551650074067623
16.0,0.002262717848183103,0.06280946043422124,4.0,3.0969455241438477,0.09959801541817556
64.0,0.0011238387932824801,0.13915959080307205,8.0,3.0377847002215597,0.13469716484336156
64.0,3.670979050328817e-05,0.0542813291964414,8.0,2.9229511370902683,0.08491023092170634
16.0,0.0014320330441008494,0.009864252367213467,16.0,2.971217519363553,0.1369824638389861
64.0,0.00011672307093288607,0.07018626346833344,8.0,2.9394030246390956,0.02561006669635514
64.0,0.000981922463093448,0.14918988302154262,4.0,3.113159986360042,0.0733172438870617
4.0,0.0012883432938941642,0.02280848640358404,16.0,3.001904273519792,0.13346233640534547
64.0,0.000645856601036246,0.10638747434647416,8.0,2.9845535670784975,0.12988189342753265
64.0,0.001910229279417548,0.1449174613556068,16.0,2.9803046832886846,0.13824041040327045
16.0,0.0009281405030544449,0.15619903734693233,8.0,2.978372094258881,0.11740111582723144
8.0,0.0010074555459643722,0.10804348737579794,4.0,3.028254011230823,0.09372231747663358
8.0,0.0012473960530220089,0.19145128426301494,16.0,3.016023085129476,0.13635637828776023
16.0,0.0013479342508519307,0.14589526995701152,8.0,3.0186399112686955,0.13295263989947353
32.0,0.0029435865713983056,0.1016747970805225,16.0,2.9744616994343835,0.1383654562304424
8.0,0.00023685373848577874,0.019966754890437532,8.0,2.8258902803607673,0.04435717939287786
8.0,0.00039432729008882734,0.18893036876879998,8.0,2.921240807728245,0.07263343363089889
16.0,0.0012259558736903672,0.19808244543871553,4.0,3.015285750536485,0.13343128399574278
32.0,0.0010235295983797256,0.16072497208870962,16.0,3.0652265633272906,0.049234553739134844
32.0,9.348508242014447e-05,0.10044614810953995,8.0,2.9257802150488192,0.11174163219939405
32.0,0.0006378858179489941,0.03543484591269486,8.0,2.928797624928987,0.1313232623246228
32.0,0.0007223968389492827,0.15219464115787779,16.0,2.9863596664857672,0.09695677004540837
4.0,0.002938528494450408,0.008092386666678863,8.0,3.1153703227306564,0.10959021615117177
4.0,0.0011810166366475535,0.04517369569344831,8.0,3.0444189218907676,0.12356005478168249
8.0,0.0025042444193336044,0.17739618814283042,8.0,3.235509636599662,0.08548335254360434
32.0,0.0019781201059042696,0.05380723392993352,4.0,2.984244701359716,0.1379955942738603
32.0,0.002926455369288512,0.05688379560478207,8.0,2.9765799884017135,0.138313549192254
64.0,0.00015690192886168533,0.004999036250094457,8.0,2.945316452725673,0.12669860319123585
4.0,0.000349600369139936,0.09219533261375967,16.0,2.82646529329415,0.07299747825336428
8.0,0.0012081756216531427,0.07535517097830785,8.0,3.0900383035492336,0.07008997041786641
8.0,0.0024888265234857764,0.15484433895210648,16.0,3.0348373416323384,0.13250456413057232
8.0,0.001938666281336954,0.08234289466846284,4.0,3.0737631090457946,0.13191410610359475
32.0,0.0013666989862565317,0.03151314011505262,16.0,2.9652056913242593,0.13825718003189968
4.0,0.002580249519842276,0.13903494851788142,8.0,3.0439790922333834,0.13591553464719114
8.0,0.001994964527940605,0.0336401431039765,4.0,3.101090510719987,0.12580238076121392
32.0,0.0021603171837458594,0.09285927919432471,8.0,2.987585680863499,0.13813960420229293
32.0,0.002172940407055015,0.17418000868419795,16.0,2.987787926867606,0.13803237306110294
16.0,0.001820297838048472,0.15211684593963348,16.0,2.997513903669411,0.13808482470079284
